Sentence 1,Sentence 2,True Binary,Pred Binary,True Real,Pred Real
혹시 눈 보호를 위한 독서등 밝기는 어떻게 조정해야하는 지 아니?,독서등이 얼마나 밝아야 눈을 보호할 수 있는지 알려주세요,1,1,3.333333333333333,4.5
2020년도 예산에는 총 66개 국민참여예산 사업에 2694억원이 확정됐다.,"2020년 예산에서, 총 66개의 국가 참여 예산 프로젝트에 2,694억 원이 확정되었습니다.",1,0,4.6,2.8
파리에서 좋은 추억의 한 부분이 되었네요.,저희 가족에게 베네치아에서 가장 좋은 추억은 이 집과 주인 가족분들과의 따뜻한 만남이었습니다.,0,0,0.6,1.8
그리고 단독으로 쓸 수 있는 욕실까지 좋았습니다!,매번 빨래 할 수 있는 점도 좋았습니다.,0,0,0.2,2.6
루브르나 시떼섬으로 가는 버스정류장도 있어요.,루브르 박물관이나 사이트 아일랜드로 가는 버스 정류장도 있습니다.,0,1,2.5,4.8
에어비엔비 메일알림 수신 방법을 알려주세요.,에어비엔비에서 오는 메일 알림을 어떻게 받아?,1,1,4.166666666666667,4.8
학회랑 저널 홍보 메일 중 더 자주 오는건 뭐야?,일본 메일이랑 브라질 메일 중 뭐가 더 코드가 길지?,0,0,0.4285714285714285,1.2
집 내부 습도를 어떻게 측정하는지 설명해줘,집 습도는 어떤 식으로 잴 수 있어?,1,1,3.857142857142857,4.8
깨끗한 화장실과 방  와이파이도 너무 좋았습니다,저는 깨끗한 욕실과 와이파이를 좋아했어요.,1,1,3.857142857142857,3.8
들어올때 말고 나갈때 방범모드 확인하는 건 어때?,외출 시 방범 모드는 어떻게 바꿔?,0,0,1.5,2.5
"아울러 각 지방청, 산하기관 등 지역대책반을 중심으로 상시 방역활동과 대국민 홍보 강화를 추진 중이다.","또한, 지역 사무소와 산하기관 등 지역 대책 본부는 정기적인 방역 활동과 홍보 강화를 추진하고 있습니다.",1,1,3.857142857142857,4.8
이를 위해 5대 주요 과제를 추진한다.,이를 위해 24시간 안전대응체계를 구축한다.,0,0,0.3333333333333333,2.5
네이버 메일 보관기간이랑 쪽지 보관기간 중 뭘 더 길게 해놨지?,학교랑 거래처 중에 내가 어디에 메일을 더 보냈을까?,0,0,0.5,2.2
중소벤처기업부는 이 같은 내용을 담은 ‘2020년 중소벤처기업 해외 마케팅 지원사업 통합공고문’을 8일 발표했다.,법무부는 4일 이같은 내용이 담긴 ‘2020년 주요 업무계획’을 발표했다.,0,0,0.7142857142857143,2.5
작년 혁신도시에 입주한 기업은 732개사다.,"작년에, 732개의 회사들이 혁신도시로 이사했습니다.",1,1,3.857142857142857,4.8
캐리어가 무거울 경우에만 엘레베이터를 이용하면 될 듯 합니다.,캐리어가 무거울 때만 엘리베이터를 이용하실 수 있습니다.,1,1,4.666666666666667,4.6
라인 메신저와 지메일의 연동은 어떻게 이뤄져?,라인 메신저에 지메일을 연동하려면 어떻게 해야돼?,1,1,4.666666666666667,4.8
대형 마트가 트램 두 정거장 거리에 있어서 식료품 사기도 편합니다.,엘리베이터가 있어서 짐 옮기기도 편합니다.,0,0,0.4285714285714285,2.5
당신 부모님의 이메일 주소가 궁금해요,너희 부모님 메일 주소를 알려줄 수 있을까?,1,1,4.0,4.7
두 명이나 세 명에게 적당한 숙소 같아요.,두세 명이 묵기에 좋은 숙박 시설입니다.,1,1,3.666666666666667,4.8
한메일 계정을 더 만드는건 유료니 그만 만들어,한메일 계정은 그만 만들고 네이버 계정으로 만들어,0,0,2.428571428571428,2.7
이번 대책의 기대 효과는? 언제 전세시장이 안정될 것으로 보는지?,한국이 언제 코로나19 청정지역이 될 것으로 보는가.,0,0,0.1428571428571428,0.0
특히 직불금 도입 과정에서 중소규모 농가를 더 배려했습니다.,"특히, 중소 농부들은 직불금을 도입하는 과정에서 더 많은 배려를 했습니다.",0,0,2.714285714285714,1.8
지금 집안 습도가 얼마인지 확인할 수 있게 도와줘,집안 습도 어떤지 보고싶을 때는 뭐라고 해야하니?,1,0,3.166666666666667,2.8
일단 다른분들 후기처럼 위치 너무 좋아요,"무엇보다도, 위치는 다른 모든 사람들의 리뷰처럼 멋집니다.",1,1,3.142857142857143,4.5
저희는 까딸루나 광장쪽이 아닌 밑에 지역으로 선택했어요,카달루나 광장이 아닌 아래 지역을 선택했습니다.,1,1,4.142857142857143,4.8
"문체부는 이를 연차적으로 확대, 시행해 학교운동부와 스포츠클럽 간의 연계를 강화한다.",문화체육관광부는 학교스포츠학과와 스포츠클럽의 연계성을 강화하기 위해 매년 이 프로그램을 확대 시행할 예정입니다.,0,1,2.2,4.8
일단 정확한 정보와 빠른 답변이 정말 좋았습니다.,호스트의 빠른 답변과 유용한 정보들이 정말 좋습니다.,0,1,2.833333333333333,4.6
게스트에 대한 배려가 묻어나는 시설들이었습니다.,우선 공간에 대한 센스가 돋보이는 곳이었습니다.,0,1,0.3333333333333333,3.8
밤하늘을 배경으로 ‘비대면 드론쇼’도 펼쳐진다.,‘비대면 실감형 문화공연 플랫폼’ 개념도.,0,0,0.3333333333333333,1.5
여느 포르투갈의 비앤비와 같이 엘리베이터는 없습니다.,포르투의 거의 모든 숙박 시설은 엘리베이터는 없습니다.,0,0,2.857142857142857,2.8
